Date,Time,Location,Operator,Flight,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,Lat,Lng,Country
12/5/1980,,"Dar es Salaam, Tanzania",Tanzania Aviation,,Dodoma - Dar es Salaam,Piper PA-42 Cheyenne,5H-TAL,31-7652016,10,9,1,10,9,1,0,The aircraft broke-up in flight in bad weather.,-6.8160837,39.2803583, Tanzania
12/21/1980,14:23,"Near Rio Hacha, Colombia",Transportes Aereos del Caribe,,Rio Hacha - Medellin,Aerospatiale Caravelle 6R,HK-1810,165,70,63,7,70,63,7,0,A fire and explosion took place 5 minutes after taking off. The explosion was possibly caused by a bomb placed in the rear section of the aircraft.,1.6930715,-75.6224117, Colombia
12/23/1980,23:12,"Qatar, Qatar",Saudi Arabian Airlines,,Dhahran - Karachi,Lockheed L-1011-200,HZ-AHJ,1161,291,271,20,2,2,0,0,Two passengers were sucked out of the plane after a tire exploded in the wheel well causing damage to the fuselage.,25.3336984,51.2295295,Qatar
1/14/1981,9:20,"Ramstein AFB, West Germany",Military - U.S. Air Force,,"Ramstein AFB - Oslo, Norway",Lockheed C-130E Hercules,69-6581,4357,11,2,7,11,2,7,0,"Stalled, crashed shortly after taking off.",49.441426,7.60130715086415, Germany
1/20/1981,11:27,"Spokane, Washington",Cascade Airways,201,Moses Lake - Spokane,Beechcraft 99A,N390CA,U-101,9,7,2,7,5,2,0,"During an instrument approach, the aircraft descended below 3,500 ft. and impacted rising terrain became airborne, went over a hilltop and came to rest 1,380 ft. further on. A fire started in the area of the right engine and spread throughout the fuselage. A premature descent to minimum descent altitude based on the flightcrew's use of an incorrect distance measuring equipment frequency and the flightcrew's subsequent failure to remain at or above MDA.",47.6579425,-117.4212265, United States
2/7/1981,18:00,"Near Leningrad, Russia",Military - Soviet Navy,,Leningrad-Vladivostok,Tupolev TU-104A,CCCP-42332,7660402,52,46,6,52,46,6,0,Crashed shortly after taking off approximately 10 miles north of Leningrad.,59.938732,30.316229, Russia
2/11/1981,18:40,"White Plains, New York",Private - Corporate,,"White Plains, NY - Toronto, Canada - White Plains, NY",Lockheed 1339,N520S,,8,6,2,8,6,2,0,"Crashed in rain, fog, windshear.  Pilot distracted as a result of a major electrical system failure. Undetected deviation from flightpath.",41.0339862,-73.7629097, United States
2/22/1981,11:20,"Avalon, California",Helicopter - Air Taxi,,"San Pedro, CA - Avalon, CA",Sikorsky S-62A,N324Y,62012,8,7,1,2,2,0,0,The main rotor disk failed from a fatigue fracture while attempting to land.,33.34221,-118.3272612, United States
2/24/1981,,"Belem, Brazil",VOTEC,,Tucurui - Belem,Embraer 110P Bandeirante,PT-GLB,110-144,14,12,2,11,9,2,0,Crashed into a tug boat and barges while on approach in heavy rain and wind and broke in two.,-1.45056,-48.4682453, Brazil
2/26/1981,5:25,Off Tabones Island  Philippines,Military - U.S. Air Force,,Training,Lockheed MC-130E-Y,64-0564,4074,24,15,9,23,15,8,0,"The military transport crashed into Subic Bay, 15 miles west-northwest of Cubi Point Naval Air Station where it had taken off an hour earlier and where it was on approach to land. Witnesses saw the aircraft flying at a low altitude just before crashing into the sea and exploding in flames.",,,
